UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
Antonio Camerano,@aacamerano,2022-06-03T15:42:35.000Z,"Antonio Camerano
@aacamerano
·
2sLo último de la COVID-19 en Argentina
COVID-19
Lo último de la COVID-19 en Argentina",,,
Cͨoͦn laͣ рⷬeͤoͦrͬ dͩeͤ laͣs͛ Oͦndͩaͣs͛,@yatupapasi,2022-06-03T15:42:34.000Z,"Cͨoͦn laͣ рⷬeͤoͦrͬ dͩeͤ laͣs͛ Oͦndͩaͣs͛
@yatupapasi
·
3s#argentina #mujeres usadas por la política, puede ser tu hija.",,,
Agptz,@Agptz1,2022-06-03T15:42:33.000Z,"Agptz
@Agptz1
·
4s⁦
@bbva_argentina
⁩ ustedes mandaron esto????…",,,
Marta.RCF,@MartaRego9,2022-06-03T15:42:33.000Z,"Marta.RCF
@MartaRego9
·
4sReplying to 
@JeanMeErre
 @futtmais
 and 
@geglobo
Por que é raríssimo ver um negro na Argentina. Nenhuma novidade.",,,
Igor Vasconcellos,@puffete,2022-06-03T15:42:31.000Z,"Igor Vasconcellos
@puffete
·
6sReplying to 
@lulabonfim
O grande rival foi o Uruguai por muitos anos, até por questão histórica. Mas acredite, essa história de Galvão ajudou muito a aumentar essa rivalidade de Brasil x Argentina.",,,
𝓙𝓮𝓼𝓾𝓼 𝓜𝓪𝓷𝓻𝓲𝓺𝓾𝓮𝔃,@Gesu_2198,2022-06-03T15:42:31.000Z,"𝓙𝓮𝓼𝓾𝓼 𝓜𝓪𝓷𝓻𝓲𝓺𝓾𝓮𝔃
@Gesu_2198
·
6sReplying to 
@Gesu_2198
 @ClinicalCharly
 and 2 others
Que están otros países. No vendemos como brasil uruguay o Argentina. Ni siquiera como Francia o Bélgica. No estamos en posición para ponernos a exigir. Joder, que europeos prefieren ir a la MLS a buscar jugadores que en mexico. Deberíamos ver a uruguay, Colombia y otros países",,,
Paula Rovira,@pau_rovi,2022-06-03T15:42:31.000Z,"Paula Rovira
@pau_rovi
·
6sChoque Av Argentina/ Baquedano  #Antofagasta ",,,
McalaMDQ,@mcalamdq,2022-06-03T15:42:29.000Z,"McalaMDQ
@mcalamdq
·
8sReplying to 
@ischargro
porque es rejodida, no hace de jodida la Cercei argentina",,,
Saku×͜×,@onlythesaku,2022-06-03T15:42:28.000Z,"Saku×͜×
@onlythesaku
·
9sReplying to 
@malevic96
Argentina, no lo entenderías",,,
APC,@APC_News,2022-06-03T15:42:27.000Z,"APC
@APC_News
·
10sOn policy and regulation, 
@AlterMundiNet
 has prepared a summary of the Roberto Arias Programme with a step-by-step guide on how to apply for this programme to support community initiatives in Argentina.

Available in Spanish:
https://altermundi.net/programa-roberto-arias-de-enacom-caracteristicas-y-requisitos/…",,,
